390252;W;
889214;b;
774356;9;
257389;G;
793709;2;
752326;8;
936192;";
436859;5;
264004;1;
762550;k;
442480;3;
333498;X;
703120;2;
972982;<;
254526;d;
724876;o;
600909;4;
927277;d;
482299;i;
268152;9;
930540;3;
314058;y;
638446;S;
884887;3;
797949;i;
840518;d;
940879;t;
547218;J;
893763;=;
669329;D;
627207;Q;
268386;E;
563973;b;
919214;X;
656473;4;
453052;@;
543956;2;
294550;@;
471350;H;
395288;";
296735;0;
573413;z;
446436;D;
807419;Q;
903023;Y;
889964;:;
129248;8;
996238;X;
710804;p;
791852;1;
103123;-;
754951;+;
115703;;;
659096;!;
622706;y;
797091;y;
412176;X;
284180;0;
542077;f;
682093;e;
893694;H;
298930;P;
566148;G;
362739;;;
401846;7;
628926;h;
196107;f;
887021;.;
100458;X;
243224;9;
695584;p;
632348;4;
284217;U;
595854;J;
613249;2;
149209;o;
385773;J;
784758;U;
164088;9;
387546;J;
280410;<;
429033;4;
342192;6;
323429;9;
141468;*;
270792;g;
263860;C;
122457;f;
364452;J;
540529;r;
637144;H;
997243;h;
552381;k;
816405;g;
578328;5;
121197;?;
687172;g;
991998;";
684739;#;
229502;U;
754938;t;
595675;(;
280948;t;
469185;o;
993444;a;
992415;X;
182682;U;
447845;4;
629244;);
946694;e;
670033;U;
357547;d;
568101;k;
668460;f;
830413;";
597064;J;
713510;5;
904906;4;
543667;l;
598266;?;
344468;G;
510881;P;
613677;=;
581709;J;
903410;9;
350002;7;
574034;J;
113349;P;
324878;Y;
837851;);
586261;b;
930767;P;
153845;P;
961511;1;
948660;:;
834433;Z;
320687;5;
685554;u;
234818;$;
733456;=;
373777;Q;
359036;f;
977716;P;
955538;1;
719259;2;
381898;$;
177961;h;
967201;#;
442262;:;
284129;J;
808892;.;
420152;5;
854004;8;
469030;1;
790402;+;
178713;3;
102095;&;
738815;q;
550176;o;
436703;#;
599483;A;
169791;O;
681502;j;
389129;4;
325451;;;
132216;7;
617459;k;
230530;J;
432192;L;
912786;y;
334972;R;
428173;1;
159327;7;
697519;k;
984516;i;
621465;m;
279370;m;
835726;%;
364579;R;
671988;$;
911952;I;
594357;o;
860394;S;
114221;T;
829624;0;
840100;o;
895428;h;
267099;i;
665113;!;
893191;W;
946275;S;
338373;;;
661322;8;
554883;R;
943380;W;
143080;D;
551227;n;
860013;";
214194;9;
834388;i;
896261;8;
636968;=;
629420;f;
606923;i;
285204;(;
907684;4;
765921;E;
130592;6;
852410;7;
573727;G;
650632;X;
679962;v;
162964;m;
591225;8;
974861;U;
100828;#;
398223;N;
649228;.;
474214;f;
485487;);
799346;1;
590565;u;
439819;3;
281578;2;
530612;0;
989824;E;
247513;7;
156392;l;
846883;k;
559331;@;
440836;I;
202124;J;
342446;b;
656783;.;
231816;N;
390973;n;
187182;D;
490586;8;
672439;1;
369203;0;
416793;+;
370698;#;
500914;b;
791383;7;
965962;o;
184410;O;
310461;y;
967007;3;
457523;@;
915494;9;
202011;c;
264495;Z;
105879;2;
845766;%;
295788;2;
838209;%;
741806;(;
955236;a;
935005;n;
744218;P;
873545;3;
922656;5;
855022;4;
234729;r;
717736;7;
771226;4;
929034;y;
822392;,;
251826;5;
636358;8;
342966;;;
785379;a;
586407;2;
555030;Q;
275612;>;
283630;&;
242592;&;
523516;T;
183155;=;
234155;&;
334854;4;
467872;!;
985190;k;
751836;s;
113277;f;
266064;1;
984374;a;
492930;R;
654047;-;
317195;x;
311681;=;
301233;1;
152833;P;
228882;:;
938924;.;
805067;(;
816199;f;
530399;1;
462089;R;
194885;3;
549929;7;
712831;2;
553058;(;
967197;n;
828537;H;
714263;i;
305195;&;
885851;q;
841903;Y;
393710;(;
711427;g;
934815;i;
120974;7;
469482;8;
735656;(;
357955;n;
344016;y;
396214;g;
325696;A;
706945;2;
832921;5;
640503;.;
579931;B;
235505;0;
291449;2;
697318;o;
963113;i;
749489;k;
728111;b;
243973;a;
617210;k;
556661;K;
348618;R;
623799;c;
541193;?;
703496;7;
632714;7;
544677;q;
134574;J;
501249;?;
775569;U;
419544;y;
238341;F;
718920;=;
986837;i;
647526;+;
266123;q;
744908;(;
406692;>;
348097;@;
322557;p;
858706;i;
753887;G;
276407;,;
313870;t;
741029;9;
536356;k;
484873;5;
536353;9;
456002;r;
819025;r;
976095;g;
431058;l;
979113;0;
749721;1;
241761;Q;
212555;!;
623278;p;
386202;<;
830873;n;
293058;A;
894229;9;
574771;,;
814166;1;
459307;S;
257631;@;
439347;#;
645191;p;
548849;3;
620722;2;
229954;G;
610643;4;
632177;e;
383144;?;
751974;L;
704567;&;
113622;S;
550634;9;
309305;J;
696105;k;
746833;a;
823766;l;
182799;.;
828692;x;
737909;8;
956830;9;
464159;Q;
601192;8;
746924;.;
862179;&;
357308;8;
100035;C;
197407;7;
906019;l;
829102;+;
844261;b;
161275;3;
588905;H;
374861;Q;
321711;2;
931713;x;
647051;T;
500309;C;
536599;6;
565286;c;
903916;a;
245659;M;
311661;?;
701058;8;
810621;3;
667064;k;
971667;8;
671598;@;
632574;9;
812076;f;
801977;h;
289862;3;
764274;H;
726497;";
433322;y;
377674;N;
122478;:;
474590;#;
612601;#;
742109;r;
262492;";
453951;l;
627852;9;
364422;h;
836644;U;
134069;1;
329441;p;
658983;W;
585872;!;
953593;8;
911189;;;
860990;o;
467691;5;
519057;8;
696484;z;
255960;y;
696907;z;
933151;b;
103702;#;
744890;E;
199683;H;
565904;(;
184041;u;
961568;);
386963;";
426760;4;
812052;g;
321736;u;
533716;;;
815044;9;
586791;3;
302447;@;
740553;7;
873019;6;
466659;D;
651346;8;
981435;,;
745847;i;
512169;1;
207816;9;
939026;v;
751488;:;
215305;";
404436;u;
864566;j;
634839;a;
569536;o;
741487;i;
503596;7;
715309;B;
245067;c;
199058;2;
810503;B;
873408;I;
312271;l;
544290;M;
786627;6;
180376;o;
324592;7;
710566;4;
543212;?;
139432;M;
187136;R;
540194;O;
932175;%;
924493;1;
288621;K;
232366;8;
651574;h;
507024;;;
454576;X;
595827;,;
784543;m;
825723;3;
428361;8;
237615;6;
570792;*;
383405;0;
868024;w;
839129;l;
205284;J;
858412;O;
224217;.;
528196;8;
523956;8;
871970;R;
271032;7;
521818;h;
833334;%;
487845;k;
531259;Q;
149567;2;
923684;8;
854491;V;
125267;U;
474375;4;
584683;Q;
213513;@;
112349;K;
181064;a;
148704;i;
441821;U;
236327;l;
503635;0;
358524;#;
843926;2;
299208;g;
828730;%;
678984;H;
226346;H;
493768;O;
154472;o;
261434;1;
242274;Z;
961493;1;
414965;m;
662059;H;
514815;Y;
126926;h;
692750;G;
702638;v;
133160;H;
340894;";
893973;i;
970027;;;
527059;U;
803671;7;
485107;d;
134984;0;
983826;A;
455765;0;
964136;3;
190488;&;
211300;D;
798121;n;
275765;Z;
253456;A;
529075;g;
882484;5;
785660;j;
483367;l;
592319;3;
883333;8;
118796;:;
469688;l;
853871;u;
767865;@;
568859;Y;
932389;J;
238989;%;
378188;G;
216532;8;
706911;<;
413010;I;
723432;1;
704767;H;
295772;i;
302757;!;
885764;E;
448119;U;
364306;x;
